number,account,survey_id,treat_type,auth,time_added,first_drawing_id
21149074,21149074,277328,regret,1,6/12/14 3:32,22
21236221,21236221,246337,interest,1,6/16/14 1:19,26
21291298,21291298,246857,interest,1,6/10/14 3:53,20
21383983,21383983,292747,interest,1,6/16/14 1:19,26
21407620,21407620,240277,regret,1,0000-00-00 00:00:00,15
21409893,21409893,156050,regret,1,6/9/14 4:41,19
21422589,21422589,242218,regret,1,6/9/14 4:41,19
21501585,21501585,283318,interest,1,6/16/14 4:05,26
21559929,21559929,162871,lottery,1,6/13/14 3:09,23
21609978,21609978,253023,lottery,1,0000-00-00 00:00:00,15
21632964,21632964,162548,interest,1,6/16/14 23:48,27
21642741,21642741,339558,lottery,1,6/11/14 23:45,22
21668167,21668167,155881,regret,1,0000-00-00 00:00:00,15
22293637,22293637,133679,regret,1,0000-00-00 00:00:00,19
22297841,22297841,132649,regret,1,6/13/14 3:09,23
22457877,22457877,155694,lottery,1,6/10/14 3:53,20
22506831,22506831,237980,regret,1,6/12/14 3:32,22
22514262,22514262,101311,regret,1,0000-00-00 00:00:00,1
22580409,22580409,113417,interest,1,6/13/14 0:19,23
22789676,22789676,137355,lottery,1,0000-00-00 00:00:00,1
22844402,22844402,113239,lottery,1,6/11/14 3:46,21
22844561,22844561,257463,lottery,1,6/11/14 23:45,22
23054667,23054667,242764,interest,1,0000-00-00 00:00:00,19
23108889,23108889,122176,lottery,1,6/11/14 23:45,22
23118291,23118291,260030,regret,1,6/12/14 3:32,22
23122082,23122082,113623,lottery,1,0000-00-00 00:00:00,1
23133252,23133252,274892,lottery,1,6/16/14 4:05,26
23182762,23182762,185317,lottery,1,6/13/14 3:09,23
23311066,23311066,149358,interest,1,6/10/14 4:01,20
23317914,23317914,261993,regret,1,6/16/14 1:19,26
23346744,23346744,252691,interest,1,6/10/14 4:01,20
23380244,23380244,147113,lottery,1,6/10/14 0:01,20
23436475,23436475,261668,lottery,1,6/16/14 4:05,26
23562447,23562447,269032,lottery,1,0000-00-00 00:00:00,15
23589542,23589542,249488,regret,1,6/13/14 0:19,23
23627199,23627199,152948,lottery,1,6/9/14 4:41,19
23688710,23688710,158004,interest,1,6/11/14 3:46,21
23717112,23717112,120767,lottery,1,6/11/14 3:46,21
23729090,23729090,258084,regret,1,0000-00-00 00:00:00,15
23788441,23788441,161080,interest,1,6/13/14 3:09,23
23809651,23809651,215140,interest,1,6/13/14 0:19,23
23822374,23822374,287485,lottery,1,6/16/14 1:19,26
23861189,23861189,274505,interest,1,6/10/14 0:01,20
23951702,23951702,266217,regret,1,6/13/14 0:19,23
24186114,24186114,227740,interest,1,0000-00-00 00:00:00,15
24195945,24195945,155468,regret,1,6/10/14 0:01,20
24226257,24226257,136133,interest,1,0000-00-00 00:00:00,13
#VALUE!,#VALUE!,0,,0,6/3/14 5:53,0
24243117,24243117,289541,interest,1,6/16/14 23:48,27
24433466,24433466,182511,interest,1,0000-00-00 00:00:00,13
24529944,24529944,145597,lottery,1,0000-00-00 00:00:00,15
24539095,24539095,298667,interest,1,6/9/14 4:41,19
24549884,24549884,131434,lottery,1,6/10/14 4:01,20
24559367,24559367,233962,interest,1,0000-00-00 00:00:00,15
24846916,24846916,286046,regret,1,0000-00-00 00:00:00,15
24852899,24852899,295452,regret,1,6/11/14 23:45,22
24855560,24855560,222508,regret,1,6/10/14 0:01,20
24923422,24923422,117911,regret,1,6/10/14 0:01,20
24960595,24960595,216735,lottery,1,6/10/14 0:01,20
24968345,24968345,188506,interest,1,6/16/14 23:48,27
25116854,25116854,213314,regret,1,0000-00-00 00:00:00,19
25177736,25177736,135060,lottery,1,0000-00-00 00:00:00,15
25208151,25208151,109083,regret,1,6/11/14 3:46,21
25339201,25339201,158514,interest,1,6/11/14 23:45,22
25420033,25420033,143242,interest,1,0000-00-00 00:00:00,15
25500661,25500661,293824,lottery,1,6/10/14 0:01,20
25576269,25576269,168062,regret,1,0000-00-00 00:00:00,1
25636412,25636412,101181,interest,1,6/13/14 3:09,23
25643408,25643408,154136,regret,1,6/11/14 23:45,22
25682959,25682959,262904,regret,1,6/16/14 23:48,27
25683834,25683834,147899,regret,1,6/11/14 3:46,21
25698916,25698916,162224,lottery,1,6/16/14 1:19,26
25714905,25714905,174587,interest,1,0000-00-00 00:00:00,15
25727744,25727744,147073,regret,1,6/10/14 0:01,20
25798344,25798344,144010,lottery,1,6/16/14 1:19,26
25823403,25823403,177775,lottery,1,0000-00-00 00:00:00,15
25827137,25827137,199949,interest,1,6/11/14 3:46,21
25838958,25838958,185570,interest,1,6/16/14 4:05,26
25857184,25857184,248467,lottery,1,6/9/14 4:41,19
25935056,25935056,232547,lottery,1,6/13/14 0:19,23
25938677,25938677,183409,interest,1,6/13/14 3:09,23
25947218,25947218,153624,interest,1,6/13/14 0:19,23
26015946,26015946,124864,interest,1,6/9/14 4:41,19
26020865,26020865,275289,interest,1,6/16/14 1:19,26
26047589,26047589,204852,regret,1,6/10/14 0:01,20
26106498,26106498,299868,interest,1,6/13/14 3:09,23
26130868,26130868,158804,lottery,1,6/10/14 0:01,20
26146389,26146389,201723,interest,1,6/16/14 4:05,26
26344921,26344921,215305,regret,1,6/16/14 4:05,26
26386537,26386537,155503,interest,1,0000-00-00 00:00:00,19
26473124,26473124,320547,lottery,1,6/13/14 0:19,23
26512986,26512986,219288,regret,1,6/11/14 3:46,21
26541545,26541545,110649,regret,1,0000-00-00 00:00:00,1
26575477,26575477,199322,regret,1,0000-00-00 00:00:00,15
26593873,26593873,261314,regret,1,6/16/14 4:05,26
26600022,26600022,260463,interest,1,6/12/14 3:32,22
26623850,26623850,261283,interest,1,6/10/14 0:01,20
26702122,26702122,157097,regret,1,0000-00-00 00:00:00,13
26718645,26718645,185935,regret,1,6/16/14 4:05,26
26898647,26898647,226245,interest,1,6/12/14 3:32,22
27221845,27221845,161643,interest,1,0000-00-00 00:00:00,13
#VALUE!,#VALUE!,0,,0,6/3/14 5:59,0
27252833,27252833,121591,regret,1,0000-00-00 00:00:00,15
27278479,27278479,125543,regret,1,6/11/14 3:46,21
27467048,27467048,109992,lottery,1,0000-00-00 00:00:00,1
27467766,27467766,228281,interest,1,6/11/14 23:45,22
27524157,27524157,288079,regret,1,6/11/14 23:45,22
27612434,27612434,159362,lottery,1,6/11/14 3:46,21
27656800,27656800,160394,regret,1,6/13/14 0:19,23
27691347,27691347,127769,lottery,1,6/13/14 0:19,23
27747770,27747770,115259,interest,1,0000-00-00 00:00:00,15
27758772,27758772,109334,lottery,1,6/13/14 3:09,23
27758968,27758968,236086,interest,1,6/12/14 3:32,22
27772545,27772545,138872,regret,1,6/10/14 0:01,20
27840388,27840388,114821,regret,1,6/11/14 23:45,22
27852614,27852614,109309,interest,1,0000-00-00 00:00:00,1
27876492,27876492,201778,interest,0,0000-00-00 00:00:00,15
27940003,27940003,275555,regret,1,0000-00-00 00:00:00,15
27998075,27998075,289452,interest,1,0000-00-00 00:00:00,19
28020930,28020930,225863,lottery,1,6/10/14 3:53,20
28059021,28059021,271841,lottery,1,6/13/14 3:09,23
28325091,28325091,126947,interest,1,6/11/14 3:46,21
28365459,28365459,355907,interest,1,6/11/14 3:46,21
28518133,28518133,241982,interest,1,0000-00-00 00:00:00,15
28533065,28533065,271511,interest,1,6/16/14 4:05,26
28575013,28575013,189097,interest,1,0000-00-00 00:00:00,15
28599453,28599453,167355,regret,1,6/16/14 23:48,27
28607517,28607517,103212,regret,1,6/13/14 3:09,23
28677734,28677734,119144,interest,1,0000-00-00 00:00:00,13
#VALUE!,#VALUE!,0,,0,6/3/14 5:53,0
28729638,28729638,148773,lottery,1,6/13/14 0:19,23
28840947,28840947,144099,regret,1,0000-00-00 00:00:00,13
28853993,28853993,134661,lottery,1,0000-00-00 00:00:00,1
29167618,29167618,291443,lottery,1,6/10/14 4:01,20
29180435,29180435,108435,lottery,1,0000-00-00 00:00:00,13
29181824,29181824,176959,regret,1,6/16/14 1:19,26
29395910,29395910,100201,interest,1,0000-00-00 00:00:00,1
#VALUE!,#VALUE!,0,,0,5/22/14 4:28,0
29434189,29434189,192646,interest,1,6/9/14 4:41,19
29449181,29449181,173880,regret,1,6/13/14 3:09,23
29562556,29562556,272828,interest,1,6/12/14 3:32,22
29627599,29627599,127622,regret,1,6/12/14 3:32,22
29656209,29656209,203011,interest,1,6/13/14 0:19,23
